job_id,coordenada_id,tipo_caso,departamento_solicitado,latitud_solicitada,longitud_solicitada,latitud_modelo,longitud_modelo,elevacion_modelo_m,timezone_respuesta,abreviatura_timezone,utc_offset_seconds,generationtime_ms,daily_units_json,modelo_solicitado,fecha_inicio,fecha_fin
2018_winter_week,URY_RO_G_E825000_N6250000,costa,Rocha,-33.840301,-53.488099,-33.8,-53.5,10.0,America/Montevideo,GMT-3,-10800,28.186798095703125,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2018-08-06,2018-08-12
2018_winter_week,URY_CA_G_E600000_N6175000,departamento_intermedio,Canelones,-34.561892,-55.909931,-34.6,-55.9,28.0,America/Montevideo,GMT-3,-10800,4.078030586242676,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2018-08-06,2018-08-12
2018_winter_week,URY_RV_G_E625000_N6575000,frontera_internacional,Rivera,-30.95185,-55.691345,-31.0,-55.699997,331.0,America/Montevideo,GMT-3,-10800,7.385015487670898,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2018-08-06,2018-08-12
2018_winter_week,URY_TA_G_E600000_N6450000,interior_departamento_grande,Tacuarembó,-32.081856,-55.940383,-32.1,-55.9,207.0,America/Montevideo,GMT-3,-10800,16.935229301452637,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2018-08-06,2018-08-12
2018_winter_week,URY_MO_G_E575000_N6150000,montevideo,Montevideo,-34.789446,-56.180201,-34.8,-56.199997,34.0,America/Montevideo,GMT-3,-10800,6.067156791687012,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2018-08-06,2018-08-12
2025_winter_week,URY_RO_G_E825000_N6250000,costa,Rocha,-33.840301,-53.488099,-33.8,-53.5,10.0,America/Montevideo,GMT-3,-10800,14.408707618713379,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2025-08-04,2025-08-10
2025_winter_week,URY_CA_G_E600000_N6175000,departamento_intermedio,Canelones,-34.561892,-55.909931,-34.6,-55.9,28.0,America/Montevideo,GMT-3,-10800,15.401959419250488,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2025-08-04,2025-08-10
2025_winter_week,URY_RV_G_E625000_N6575000,frontera_internacional,Rivera,-30.95185,-55.691345,-31.0,-55.699997,331.0,America/Montevideo,GMT-3,-10800,14.868974685668945,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2025-08-04,2025-08-10
2025_winter_week,URY_TA_G_E600000_N6450000,interior_departamento_grande,Tacuarembó,-32.081856,-55.940383,-32.1,-55.9,207.0,America/Montevideo,GMT-3,-10800,9.517669677734375,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2025-08-04,2025-08-10
2025_winter_week,URY_MO_G_E575000_N6150000,montevideo,Montevideo,-34.789446,-56.180201,-34.8,-56.199997,34.0,America/Montevideo,GMT-3,-10800,15.981912612915039,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}",era5_seamless,2025-08-04,2025-08-10
